global_step,seed,method,env_id,mean_episode_reward,std_episode_reward,mean_success_rate,std_success_rate,mean_episode_length,label,experiment,source_path
0,0,sac,FetchReachDense-v3,-6.3194208140632355,2.8032239936356627,0.05,0.2179449471770336,50.0,FetchReach SAC,phase1_fetch_reach,outputs/phase1_fetch_reach/rl/sac/seed_0/eval_metrics.csv
10000,0,sac,FetchReachDense-v3,-8.209831192988451,2.3387745894080405,0.0,0.0,50.0,FetchReach SAC,phase1_fetch_reach,outputs/phase1_fetch_reach/rl/sac/seed_0/eval_metrics.csv
20000,0,sac,FetchReachDense-v3,-4.428767163087501,1.0888616453439302,0.05,0.2179449471770336,50.0,FetchReach SAC,phase1_fetch_reach,outputs/phase1_fetch_reach/rl/sac/seed_0/eval_metrics.csv
30000,0,sac,FetchReachDense-v3,-1.4591259329339283,0.6548112081330371,0.95,0.2179449471770337,50.0,FetchReach SAC,phase1_fetch_reach,outputs/phase1_fetch_reach/rl/sac/seed_0/eval_metrics.csv
40000,0,sac,FetchReachDense-v3,-2.619219024765928,1.4583367319396938,0.5,0.5,50.0,FetchReach SAC,phase1_fetch_reach,outputs/phase1_fetch_reach/rl/sac/seed_0/eval_metrics.csv
50000,0,sac,FetchReachDense-v3,-2.4378692203510046,1.440063978586131,0.75,0.4330127018922193,50.0,FetchReach SAC,phase1_fetch_reach,outputs/phase1_fetch_reach/rl/sac/seed_0/eval_metrics.csv
60000,0,sac,FetchReachDense-v3,-2.065667269573119,0.882931718647893,0.75,0.4330127018922193,50.0,FetchReach SAC,phase1_fetch_reach,outputs/phase1_fetch_reach/rl/sac/seed_0/eval_metrics.csv
70000,0,sac,FetchReachDense-v3,-1.7140929007302066,0.7547779388618381,0.85,0.3570714214271425,50.0,FetchReach SAC,phase1_fetch_reach,outputs/phase1_fetch_reach/rl/sac/seed_0/eval_metrics.csv
80000,0,sac,FetchReachDense-v3,-2.6137549659265087,0.893467956798237,0.4,0.4898979485566357,50.0,FetchReach SAC,phase1_fetch_reach,outputs/phase1_fetch_reach/rl/sac/seed_0/eval_metrics.csv
90000,0,sac,FetchReachDense-v3,-1.1306525735725876,0.3971542077387444,1.0,0.0,50.0,FetchReach SAC,phase1_fetch_reach,outputs/phase1_fetch_reach/rl/sac/seed_0/eval_metrics.csv
100000,0,sac,FetchReachDense-v3,-1.052454947132015,0.3106597356523471,1.0,0.0,50.0,FetchReach SAC,phase1_fetch_reach,outputs/phase1_fetch_reach/rl/sac/seed_0/eval_metrics.csv
110000,0,sac,FetchReachDense-v3,-1.06195134270066,0.5832478042657058,0.95,0.2179449471770337,50.0,FetchReach SAC,phase1_fetch_reach,outputs/phase1_fetch_reach/rl/sac/seed_0/eval_metrics.csv
120000,0,sac,FetchReachDense-v3,-1.004736662705214,0.3180504423416076,1.0,0.0,50.0,FetchReach SAC,phase1_fetch_reach,outputs/phase1_fetch_reach/rl/sac/seed_0/eval_metrics.csv
130000,0,sac,FetchReachDense-v3,-0.9764560782688756,0.4315474446293522,1.0,0.0,50.0,FetchReach SAC,phase1_fetch_reach,outputs/phase1_fetch_reach/rl/sac/seed_0/eval_metrics.csv
140000,0,sac,FetchReachDense-v3,-0.9045930789422736,0.481452044833891,1.0,0.0,50.0,FetchReach SAC,phase1_fetch_reach,outputs/phase1_fetch_reach/rl/sac/seed_0/eval_metrics.csv
150000,0,sac,FetchReachDense-v3,-0.9441154079708844,0.4554748789763861,1.0,0.0,50.0,FetchReach SAC,phase1_fetch_reach,outputs/phase1_fetch_reach/rl/sac/seed_0/eval_metrics.csv
160000,0,sac,FetchReachDense-v3,-1.0248473239720934,0.4090117554660192,1.0,0.0,50.0,FetchReach SAC,phase1_fetch_reach,outputs/phase1_fetch_reach/rl/sac/seed_0/eval_metrics.csv
170000,0,sac,FetchReachDense-v3,-0.7259139015136237,0.2190711795627082,1.0,0.0,50.0,FetchReach SAC,phase1_fetch_reach,outputs/phase1_fetch_reach/rl/sac/seed_0/eval_metrics.csv
180000,0,sac,FetchReachDense-v3,-0.7160150373522504,0.2591746023902785,1.0,0.0,50.0,FetchReach SAC,phase1_fetch_reach,outputs/phase1_fetch_reach/rl/sac/seed_0/eval_metrics.csv
190000,0,sac,FetchReachDense-v3,-0.6616395543677658,0.1945079629731499,1.0,0.0,50.0,FetchReach SAC,phase1_fetch_reach,outputs/phase1_fetch_reach/rl/sac/seed_0/eval_metrics.csv
200000,0,sac,FetchReachDense-v3,-0.6535547422943566,0.2475703793839707,1.0,0.0,50.0,FetchReach SAC,phase1_fetch_reach,outputs/phase1_fetch_reach/rl/sac/seed_0/eval_metrics.csv
210000,0,sac,FetchReachDense-v3,-0.7058108146554524,0.3795883387829868,1.0,0.0,50.0,FetchReach SAC,phase1_fetch_reach,outputs/phase1_fetch_reach/rl/sac/seed_0/eval_metrics.csv
220000,0,sac,FetchReachDense-v3,-0.7293898042749667,0.3817887966898644,1.0,0.0,50.0,FetchReach SAC,phase1_fetch_reach,outputs/phase1_fetch_reach/rl/sac/seed_0/eval_metrics.csv
230000,0,sac,FetchReachDense-v3,-0.7385138540544566,0.4272857035291625,1.0,0.0,50.0,FetchReach SAC,phase1_fetch_reach,outputs/phase1_fetch_reach/rl/sac/seed_0/eval_metrics.csv
240000,0,sac,FetchReachDense-v3,-0.661384997734464,0.2022027308058263,1.0,0.0,50.0,FetchReach SAC,phase1_fetch_reach,outputs/phase1_fetch_reach/rl/sac/seed_0/eval_metrics.csv
250000,0,sac,FetchReachDense-v3,-0.8798309789453146,0.2888370004195405,1.0,0.0,50.0,FetchReach SAC,phase1_fetch_reach,outputs/phase1_fetch_reach/rl/sac/seed_0/eval_metrics.csv
0,0,sac,FetchPushDense-v3,-9.265410915011056,3.8402963542741593,0.0,0.0,50.0,FetchPushDense SAC,phase2_fetch_push_dense,outputs/phase2_fetch_push_dense/rl/sac/seed_0/eval_metrics.csv
10000,0,sac,FetchPushDense-v3,-8.950848578167081,3.974219213385744,0.05,0.2179449471770336,50.0,FetchPushDense SAC,phase2_fetch_push_dense,outputs/phase2_fetch_push_dense/rl/sac/seed_0/eval_metrics.csv
20000,0,sac,FetchPushDense-v3,-7.90014149945065,3.97591710927138,0.1,0.3,50.0,FetchPushDense SAC,phase2_fetch_push_dense,outputs/phase2_fetch_push_dense/rl/sac/seed_0/eval_metrics.csv
30000,0,sac,FetchPushDense-v3,-8.619690752404104,3.9888320378896376,0.05,0.2179449471770336,50.0,FetchPushDense SAC,phase2_fetch_push_dense,outputs/phase2_fetch_push_dense/rl/sac/seed_0/eval_metrics.csv
40000,0,sac,FetchPushDense-v3,-10.643784415308618,3.7164938187839,0.05,0.2179449471770336,50.0,FetchPushDense SAC,phase2_fetch_push_dense,outputs/phase2_fetch_push_dense/rl/sac/seed_0/eval_metrics.csv
50000,0,sac,FetchPushDense-v3,-8.26751348908466,3.5498652349210147,0.0,0.0,50.0,FetchPushDense SAC,phase2_fetch_push_dense,outputs/phase2_fetch_push_dense/rl/sac/seed_0/eval_metrics.csv
60000,0,sac,FetchPushDense-v3,-8.478234681425759,3.238235487596722,0.0,0.0,50.0,FetchPushDense SAC,phase2_fetch_push_dense,outputs/phase2_fetch_push_dense/rl/sac/seed_0/eval_metrics.csv
70000,0,sac,FetchPushDense-v3,-10.411421655417335,3.521223026456085,0.0,0.0,50.0,FetchPushDense SAC,phase2_fetch_push_dense,outputs/phase2_fetch_push_dense/rl/sac/seed_0/eval_metrics.csv
80000,0,sac,FetchPushDense-v3,-9.690065762387338,3.6845742831522057,0.05,0.2179449471770336,50.0,FetchPushDense SAC,phase2_fetch_push_dense,outputs/phase2_fetch_push_dense/rl/sac/seed_0/eval_metrics.csv
90000,0,sac,FetchPushDense-v3,-7.815927977575237,3.5616132830576563,0.1,0.3,50.0,FetchPushDense SAC,phase2_fetch_push_dense,outputs/phase2_fetch_push_dense/rl/sac/seed_0/eval_metrics.csv
100000,0,sac,FetchPushDense-v3,-8.266357247409026,4.29578274650258,0.15,0.3570714214271425,50.0,FetchPushDense SAC,phase2_fetch_push_dense,outputs/phase2_fetch_push_dense/rl/sac/seed_0/eval_metrics.csv
110000,0,sac,FetchPushDense-v3,-9.280127431485782,3.477532135573518,0.05,0.2179449471770336,50.0,FetchPushDense SAC,phase2_fetch_push_dense,outputs/phase2_fetch_push_dense/rl/sac/seed_0/eval_metrics.csv
120000,0,sac,FetchPushDense-v3,-8.414870994614722,4.393159453028559,0.15,0.3570714214271425,50.0,FetchPushDense SAC,phase2_fetch_push_dense,outputs/phase2_fetch_push_dense/rl/sac/seed_0/eval_metrics.csv
